entid,year,islatest,profit_loss,revenue,sales_cost,sales_tax,sales_expense,G_expense,finance_expense,asset_devaluation_losses,fair_value_change,investment_income,operation_profit,non_operating_income,non_operating_expense,total_profit,assets,assets_re,payrol_expense,welfare_expenses,education_expenses,union_funds,ad_expenses,entertainment_expenses,assets_loss,asset_devaluation_allowance,main_business_income,main_business_cost,other_business_income,other_operating_cost,retained_profits,gross_profit,main_business_gross,income_tax_adjuste,income_taxable,incometax_taxable,incometax_amount,incometax_actual
959830672,2013,0,1.807392952167585,720937.3573081858,66060.85932056545,41579.77197370367,781942.7151203097,4268869.6674094,4493.454403401187,,,,-4442011.237023913,-0.9669008612193668,64304.83830670677,-4506319.993446149,,,695277.2095611992,,,,,5517.788263220521,,,,,,,,,,-4439812.129816129,,,,
959830672,2012,0,0.1827795312095974,1538921.1089020642,253343.8868748741,84100.6836148028,340675.6477066631,4485882.390870533,27074.670453063896,,,,-3652150.683277591,,5000.5464476446405,-3657151.21561514,9999999.12766649,10000000.99451875,,,,,,,,,,,,,,,,-3650941.745089407,,,,
959830672,2014,0,1.0371157513742697,7614.425114151499,8636.2457198522,428.5306132092844,91270.94037003446,4131799.703388957,133.37280891847286,,,,-4224649.549025925,,26940.56490744604,-4251589.318525915,458.6355779155884,456.9652433957668,,,,,,,,,,,,,,,,-4224650.802616346,,,,
959830672,2016,0,-0.055554899773229,-1.4276494863031557,0.4423883646390246,-1.3588627906526831,-1.9734704435932,-0.580285652481129,1.2089120474416224,0.5926716211532367,0.3838194302988704,-0.3937657409325521,0.6785383891537293,2.217522090749616,-1.8529589594468872,-0.236477291882545,380000001.3760759,379999999.8521885,0.7760705960223551,,,,,,,,-0.92983868002125,0.5395971435340593,0.479114482815364,-0.0479264710823219,-0.8677939221727938,,,,,,,-1.1736811371972438
959830672,2017,1,0.2050646769899945,-1.249339327553738,-1.9328318699155584,0.961540599129295,-0.6116534716898787,23997.76552874748,0.521062464919477,0.3846778121127125,-1.5099637238803996,1.2236440448922838,-24001.32558597144,-0.671947682686878,-0.4177881516641057,-24000.06355188565,-0.5369601547266478,-0.0501671439748259,23999.86001181953,,,,,,,,-0.2349894278815775,-1.307258882880515,-0.3193423148864047,-0.2768082177854261,-24001.982630778068,,,,,,,-1.4841773788365091
620868429,2013,0,-0.6167583126217314,11237799.91340346,,629319.6001829212,,2475900.860282848,-1205659.431947999,842000.1595298473,,,8496278.987423226,,,8496281.135445533,106382000.56513712,106381997.7815824,461123.93610191945,18187.0260140882,1748.9230736343234,,,62753.42463763896,,841999.268689319,,,,,,,,8611821.531197999,8611821.74764231,2152949.3158223834,2152950.653268117,2152948.175091629
620868429,2012,0,-0.2272632113188687,6892329.942012949,,385970.8613226341,,2502270.377025973,-1330939.573369239,-448999.9434644424,,,5784030.131930601,275134.59381374705,270.753293750277,6058889.266437819,99999999.7795138,99999998.71810196,,,,,,,,,,,,,,,,6097400.920121202,5510739.869581384,1377680.0053743485,1377681.501886951,1377681.0477887362
620868429,2014,0,-0.0883175518477856,19472098.779405206,,1090439.884542399,,2966886.714436611,-32295.767422528195,579834.9630550577,,,14867199.427025083,,,14867199.577267708,10860.948482154989,108605000.12769726,,,,,,,,,,,,,,,,16224097.999326669,16224100.585173314,4056020.8391083074,4056020.665336518,4056019.860034261
620868429,2015,0,2.586425596360791,3494000.043647237,0.5558841318773139,198000.2384727221,0.6545612812766456,1734999.844570515,-4000.0019534036,1.458708659495407,-0.4691513218686143,-1.5175388437263295,1564999.2395757774,33999.73680420159,0.0246068093302558,1599000.4092921878,1.5686504547646027,-0.4666596013125534,0.1308784892163297,,,,,,,,3494000.344399,-0.5298017945466614,0.255606293107555,0.2413115448433802,1197999.0577626384,,,,,,,400998.1379208647
620868429,2016,0,-0.4547034702614561,-1.0955577334866358,0.9190047845346506,-1.0176344461505693,0.4531034724348478,740999.2913187643,-4997.663762030427,0.3245515685144307,-0.1925966315257272,-0.3658844500370382,-734999.6649343428,25999.19016952837,-0.3852582055240855,-709000.3334521488,46107999.0037047,46107999.7960911,220998.9373231294,,,,,,,,0.3243569949367638,1.3490035943642884,1.1885307002352614,-0.3646050015837349,-709002.1184563492,,,,,,,-0.5485379487428063
